Fibonacci-DeQuy

Input,Output,Count_Assign,Count_Compare
3,2,3,3,
6,8,15,15,
9,34,67,67,
12,144,287,287,
15,610,1219,1219,
18,2584,5167,5167,
21,10946,21891,21891,
24,46368,92735,92735,
27,196418,392835,392835,
30,832040,1664079,1664079,
